conference_id,name,alias
2d58e0bd-e249-48f5-b531-c22f5cf6e264,Gulf South Conference,GSC
49602742-5d66-412e-8a58-ab1e613d593c,American,AAC
359cd6eb-de34-4ae2-90a2-6e80e4d4ff62,Conference USA,CONFERENCE-USA
50a92c00-888a-40c3-b223-9624dec9f2bd,Sooner Athletic Conference,SOONER
82fb0ec0-4f49-4ab9-9bcc-fe782b015210,Mountain West,MOUNTAIN-WEST
7a56b889-96ba-4ec2-8fe0-0b2091ff05ac,Coastal Athletic Association,CAA
8fd1a800-657d-4391-ab1d-6abdd05645cc,Big Sky,BIG-SKY
29a74ca3-7c09-4d54-8d0f-62c15ee03cdc,Minnesota Intercollegiate Athletic Conference,MIAC
f8037397-7826-4ad9-a5d4-15868fae76df,Northeast,NORTHEAST
c320231c-eec0-4b9c-b09e-016280763cf2,Pioneer,PIONEER
663b118f-d664-4fd2-adea-7dbd1f997e12,Mountain East Conference,MEC
4315f6ac-97c0-49a6-b218-a8768ab65ea7,Mid-American,MID-AMERICAN
eb7f8197-a82d-4ab3-831b-5a2c647618e0,Mid-South Conference,MID-SOUTH
65e9fcaf-9ab3-484c-a238-150424c38159,Great Lakes Intercollegiate Athletic Conference,GLIAC
151998c5-80e4-466f-aafe-0c25eb62de75,South Atlantic Conference,SAC
a3dc8d14-691d-4919-8b16-28c3f121901d,Northern Sun Intercollegiate Conference,NSIC
68307cdb-1510-49f9-a185-5e0811d0368d,Appalachian Athletic Conference,APAC
2170ce1b-7bce-4645-a5d9-1c11f6454c94,Atlantic Coast,ACC
310a49d2-421b-4f00-9b6c-2e5cf312c9f6,Frontier Conference,FRONTIER
9ff5f231-e383-11ed-951e-a5f529384569,United Athletic,UAC
cddff7c9-65e1-4fe0-b052-87fd4213fbfe,Big Ten,BIG-TEN
5ea721b5-367a-499e-9a53-ef761087b8d7,Great Northwest Athletic Conference,GNAC
499f3a80-13bc-4efa-8297-02a3383bb620,Southland,SOUTHLAND
c7a491c8-d0f2-4ca1-9403-f82db4452dd1,Southeastern,SEC
0640b507-31ce-453e-9a0e-675705aa5062,North Star Athletic Association,NORTH-STAR
761bddcb-89e4-4ba7-9bc9-6d5dce0af9fa,Wisconsin Athletic Conference,WIAC
576b61f7-e51b-4e3e-aee3-d377d45be229,Southern States Athletic Conference,SSAC
b47f1b7f-3fb9-45e0-b9bc-639d729b733c,Sun Belt,SUN-BELT
6973b296-7d94-4d07-9f83-c9576b315f91,Mid Eastern Athletic,MEAC
b42fbccc-5182-40bf-8d99-213a80dcf327,Pennsylvania State Athletic Conference,PSAC
327bb2ce-9582-4e8e-adcb-d297ed656d32,Central Intercollegiate Athletic Association,CIAA
0b87cfb1-c1c5-4033-bbc2-4890d344b97f,New England Football Conference,NEFC
74cb3095-362a-4c90-8c61-24b979a0df6c,Northeast-10,NE-10
cd553725-acbe-496a-bae9-ed8ab6456a50,Great Lakes Valley Conference,GLVC
ab0298d3-527e-40c8-ae4b-f328e5303aa6,USCAA Independents,USCAA-INDEPENDENTS
442a3894-7884-4de6-b564-f9c44ddb4a04,Mid-America Intercollegiate Athletics Association,MIAA
bd2f1da4-a5b6-4047-9494-612df34e9091,IA Independents,IA-INDEPENDENTS
6bf1311a-2333-4548-be17-8f1aa14f8e4d,Heartland Conference,HCAC
9c49443e-fa63-446e-8b87-9e5d369c8392,Lone Star Conference,LSC
a738a0f0-d2a2-4a42-b2ec-8e5c1b101e2e,California Pacific Conference,CAL-PAC
74997452-1234-43f9-8903-a1da76d6d591,Great Midwest Athletic Conference,G-MAC
034e3dea-6190-45d6-8dc6-ca52ba2d65c0,Patriot League,PATRIOT-LEAGUE
eecdc945-d69b-489a-99e4-a2d2bb16bb24,Great American Conference,GAC
e602d087-f616-4805-99b6-3e24a524561b,Red River Athletic Conference,RED-RIVER
a15aa3a4-6fc3-4a25-be98-d0059836a060,Southern,SOUTHERN
cf3cc2c8-47ef-418d-8a25-94ab97588c37,Southern Intercollegiate Athletic Conference,SIAC
9a657291-adc4-4a55-8e94-a2063d4b03c5,Southwestern Athletic,SWAC
916db4a1-2ed8-4373-b867-bbd8236f68e3,Gulf Coast Athletic Conference,GCAC
f9da8a38-d704-4a62-83fd-22ad5758446b,Ivy,IVY
fb267c5d-cfce-41ca-b67f-8ba05d687961,American Southwest Conference,ASC
261eaf93-7726-4749-8581-06233b125d98,The Sun Conference,TSC
29c942eb-1c30-4314-a6d7-305aaffab269,IAA Independents,IAA-INDEPENDENTS
5252072c-ad6c-4acc-80e7-6c24c87c7043,Massachusetts State Collegiate Athletic Conference,MASCAC
