ranking_id,poll_id,poll_name,season_id,week,effective_time,team_id,rank_position,prev_rank,points,fp_votes,wins,losses,ties
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,9a6d6f3f-021e-4ddd-8fac-ac4766239d87,1,1,1640,58,11,0,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,fa0eb091-8e35-49c7-b00f-269794a99a61,2,2,1587,7,11,0,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,d5199a36-7f26-4c3b-be48-9599039e232c,3,3,1522,1,11,0,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,2eef738d-c637-4b12-b8df-4b79efcce71e,4,4,1444,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,5c218a3b-a013-4037-97b6-603c9502b701,5,6,1326,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,e3df6700-2881-4b02-a170-f397bb5718a9,6,5,1320,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,22083fa4-8d9c-4ccc-8c33-cda772954099,7,6,1295,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,242f21d8-7372-4359-a04f-4d467ead22d6,8,8,1169,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,d7f19bff-74e7-4b71-a221-12dfeb144fd8,9,9,1117,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,19775492-f1eb-4bc5-9e15-078ebd689c0f,10,10,1056,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,627b2e5c-3ba5-496e-9f9b-1c620247c1b7,11,11,1014,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,8177772e-e8b5-44c6-8dc2-a745b863ec3b,12,12,876,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,2f475a40-df87-43a7-b8a9-c36a43edff21,13,14,849,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,28e1dbb0-1295-42ca-bda1-fddb122aed2b,14,13,809,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,d3e8c416-e643-4d5e-be9e-c598a150b234,15,18,664,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,ae68bc50-4135-47b5-b2f1-03d0669e54c8,16,17,646,0,8,3,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,858b3a2b-f9c3-4497-a707-733cc1ea7516,17,19,556,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,9ecb9f6b-df4a-4a92-aaa4-5d50a5286bdd,18,20,473,0,8,3,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,8f496f34-14e3-4ca7-958b-53f6da0b74d6,19,16,464,0,8,3,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,b59ad9ae-b8ec-4f8e-9bd2-ec5b4af41e57,20,21,331,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,2a828de7-53d6-4a35-9f55-9aaa226956ed,21,22,288,0,10,1,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,6551124f-312e-49c8-87c4-d1cba14133c7,22,24,255,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,5ff038e1-6e3b-4cbe-90b8-751f783cd7a9,23,15,228,0,9,2,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,a5ef8db1-5d26-4d7e-af22-b21e380c16d2,24,,174,0,8,3,0
,aef92d2e-6f2d-462a-972b-f38859ddb96f,Associated Press Top 25,754e4990-efc7-11ef-bb2a-5d2d22b9215e,14,2025-12-02 23:36:00,619c5384-3660-44ac-b2ad-597ccb3854c7,25,,121,0,8,3,0
